winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19,winner_position
2,75,165,148,153,0,"[15, 0, 12, 0]","[10, 0, 14, 13]","[11, 12, 13, 0]","[12, 0, 13, 11]","[13, 0, 0, 0]","[11, 0, 12, 11]","[11, 0, 13, 10]","[12, 11, 10, 0]","[0, 0, 10, 0]","[11, 10, 0, 10]","[10, 10, 0, 11]","[0, 10, 12, 11]","[0, 11, 10, 12]","[13, 0, 11, 10]","[12, 0, 12, 12]","[12, 0, 11, 11]","[0, 0, 0, 14]","[0, 0, 12, 12]","[0, 11, 0, 0]",2
2,109,176,107,176,1,"[15, 0, 12, 10]","[13, 10, 15, 0]","[13, 12, 10, 0]","[11, 11, 0, 12]","[11, 11, 13, 0]","[12, 0, 0, 11]","[0, 0, 10, 0]","[10, 0, 11, 10]","[11, 0, 11, 10]","[10, 10, 10, 0]","[10, 11, 10, 0]","[0, 10, 11, 10]","[0, 11, 10, 0]","[12, 0, 10, 11]","[0, 0, 11, 0]","[11, 0, 10, 13]","[12, 11, 0, 10]","[12, 12, 11, 0]","[13, 0, 11, 10]",1
1,181,124,131,125,2,"[12, 11, 0, 14]","[13, 11, 0, 13]","[0, 0, 12, 0]","[12, 10, 14, 0]","[0, 11, 10, 12]","[11, 10, 12, 0]","[0, 12, 10, 11]","[12, 0, 10, 11]","[10, 10, 0, 12]","[10, 11, 10, 0]","[10, 10, 0, 0]","[0, 12, 11, 10]","[0, 11, 0, 0]","[11, 11, 0, 11]","[11, 0, 0, 0]","[0, 13, 11, 0]","[13, 12, 0, 12]","[0, 15, 11, 12]","[0, 11, 13, 13]",3
1,137,113,132,120,3,"[0, 0, 11, 11]","[0, 11, 0, 0]","[11, 14, 11, 0]","[0, 0, 0, 0]","[10, 0, 12, 11]","[0, 11, 12, 10]","[0, 0, 0, 10]","[11, 0, 0, 0]","[10, 11, 0, 11]","[0, 11, 10, 10]","[10, 10, 0, 11]","[10, 0, 10, 11]","[0, 12, 11, 10]","[10, 12, 11, 0]","[14, 11, 10, 0]","[11, 10, 0, 14]","[10, 0, 15, 10]","[0, 12, 0, 0]","[13, 12, 0, 13]",2
1,156,150,149,104,0,"[0, 13, 14, 0]","[15, 12, 11, 0]","[0, 13, 10, 12]","[0, 10, 11, 0]","[0, 11, 12, 10]","[11, 0, 12, 12]","[10, 12, 0, 12]","[0, 11, 10, 10]","[0, 10, 10, 11]","[10, 11, 0, 10]","[11, 11, 0, 10]","[10, 10, 0, 13]","[0, 0, 11, 12]","[12, 11, 0, 12]","[13, 10, 0, 0]","[0, 11, 12, 13]","[0, 0, 12, 0]","[0, 0, 13, 0]","[12, 0, 12, 12]",1
1,162,94,151,125,1,"[16, 11, 0, 12]","[0, 0, 12, 0]","[11, 15, 11, 0]","[0, 10, 14, 0]","[0, 12, 0, 10]","[0, 11, 11, 11]","[0, 10, 12, 11]","[0, 10, 11, 10]","[10, 10, 0, 10]","[10, 10, 0, 10]","[10, 10, 0, 12]","[12, 10, 0, 11]","[12, 10, 0, 11]","[11, 11, 0, 10]","[11, 10, 0, 0]","[11, 12, 11, 0]","[0, 0, 0, 11]","[11, 0, 12, 12]","[0, 0, 0, 10]",4
2,148,154,112,142,2,"[0, 11, 0, 13]","[13, 0, 10, 13]","[11, 0, 12, 13]","[13, 13, 10, 0]","[14, 10, 11, 0]","[10, 12, 11, 0]","[0, 0, 11, 0]","[0, 10, 10, 0]","[11, 11, 0, 10]","[0, 10, 10, 10]","[0, 11, 10, 11]","[10, 0, 0, 0]","[0, 10, 13, 10]","[11, 12, 10, 0]","[12, 11, 0, 11]","[14, 0, 11, 11]","[11, 13, 13, 0]","[12, 0, 0, 0]","[0, 14, 12, 10]",4
1,143,116,142,125,3,"[13, 11, 0, 0]","[12, 14, 10, 0]","[0, 10, 0, 0]","[12, 0, 0, 11]","[13, 0, 13, 10]","[10, 12, 0, 11]","[0, 10, 10, 12]","[11, 0, 11, 11]","[10, 11, 0, 11]","[0, 10, 10, 11]","[12, 0, 10, 10]","[0, 10, 0, 0]","[10, 11, 0, 11]","[0, 10, 12, 11]","[0, 11, 0, 11]","[11, 0, 0, 12]","[11, 0, 12, 10]","[0, 13, 15, 0]","[0, 10, 13, 0]",2
3,88,121,194,98,0,"[0, 0, 0, 10]","[11, 0, 12, 13]","[0, 0, 0, 14]","[0, 12, 13, 12]","[0, 0, 0, 10]","[10, 0, 11, 11]","[0, 11, 11, 10]","[10, 0, 10, 11]","[0, 10, 10, 11]","[10, 10, 0, 10]","[10, 0, 11, 10]","[11, 10, 0, 11]","[10, 0, 0, 0]","[0, 13, 11, 0]","[0, 0, 0, 11]","[12, 0, 11, 13]","[14, 0, 10, 12]","[0, 12, 11, 12]","[0, 10, 0, 13]",3
0,154,128,135,161,1,"[12, 0, 15, 12]","[12, 0, 11, 14]","[11, 0, 11, 11]","[0, 12, 0, 11]","[14, 11, 11, 0]","[12, 10, 0, 11]","[10, 12, 11, 0]","[10, 0, 0, 0]","[0, 10, 10, 10]","[0, 11, 0, 10]","[0, 10, 10, 0]","[10, 11, 0, 11]","[11, 10, 11, 0]","[12, 11, 0, 0]","[11, 11, 0, 11]","[12, 12, 0, 12]","[12, 12, 12, 0]","[12, 0, 14, 12]","[0, 11, 12, 10]",3
